OGS	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.683.002	2	2	1	2	1	1	2	2	2	3	4	3	3	3
sim.684.002	1	1	2	2	2	2	2	1	0	0	0	0	0	0
sim.685.002	1	1	1	0	1	1	1	1	1	1	1	1	1	1
sim.686.002	1	2	0	2	1	1	0	1	1	1	2	2	1	2
sim.687.002	1	1	1	1	1	2	1	1	1	0	0	0	0	0
sim.688.002	2	2	0	0	0	0	0	0	0	0	0	0	0	0
sim.689.002	1	1	1	1	1	1	1	1	0	4	4	3	4	4
sim.69.002	1	1	1	1	1	1	1	1	0	0	0	0	0	0
sim.690.002	1	1	2	1	1	3	1	2	1	0	0	1	2	2
sim.691.002	1	1	2	1	2	1	1	0	1	1	0	2	1	1
sim.692.002	0	0	1	1	1	1	2	1	1	0	0	0	0	0
sim.693.002	0	0	0	0	0	0	0	0	0	1	1	1	1	1
sim.694.002	2	3	2	2	2	2	2	2	2	1	1	1	1	1
sim.695.002	2	1	1	1	1	1	1	1	1	1	2	3	1	1
sim.696.002	2	2	2	2	2	3	1	2	2	0	0	1	1	1
sim.697.002	3	5	6	7	5	5	4	7	7	1	1	3	3	4
sim.698.002	1	0	1	0	0	0	0	1	1	2	1	1	2	4
sim.699.002	1	1	2	1	2	2	1	2	2	0	0	0	1	1
sim.7.002	0	0	0	0	0	0	0	0	0	1	1	1	1	1
sim.70.002	0	0	0	0	0	0	0	0	0	6	5	0	0	0
sim.700.002	1	1	1	1	1	1	0	1	0	0	0	0	0	0
sim.701.002	0	1	1	1	1	1	1	1	1	1	1	1	1	1
sim.702.002	1	2	0	0	0	0	0	0	0	1	0	1	1	0
sim.703.002	0	0	1	1	1	1	1	1	1	1	1	1	1	1
sim.704.002	1	1	1	1	1	1	1	1	1	0	0	0	0	0
sim.705.002	3	3	1	1	1	1	1	0	1	1	1	1	1	1
sim.706.002	0	0	0	0	0	0	0	0	0	1	1	1	0	1
sim.707.002	0	0	0	0	0	0	0	0	0	0	1	1	1	1
sim.708.002	1	1	0	1	1	1	1	0	1	1	1	2	1	1
sim.709.002	1	1	1	1	1	0	1	1	1	2	3	3	3	3
sim.71.002	0	0	1	1	1	1	1	1	1	1	2	1	2	0
sim.710.002	0	0	0	0	0	0	0	0	0	1	1	1	1	1
sim.711.002	1	1	0	1	1	1	1	1	0	2	1	1	1	0
sim.712.002	2	3	0	1	1	1	1	1	1	0	1	1	1	1
sim.713.002	1	1	1	1	1	1	1	1	1	0	0	0	0	0
sim.714.002	0	0	0	0	0	0	0	0	0	1	1	1	2	3
sim.715.002	0	0	0	1	1	1	1	1	1	1	1	0	0	0
sim.716.002	1	2	1	0	1	1	1	1	1	1	2	2	1	1
sim.717.002	1	1	2	2	2	2	2	2	2	3	4	5	3	3
sim.718.002	0	0	0	0	0	0	0	0	0	1	2	1	1	1
sim.719.002	1	3	4	3	4	4	5	3	3	1	1	1	2	2
sim.72.002	3	0	2	2	2	2	2	2	2	0	0	2	2	3
sim.720.002	2	1	0	2	1	1	1	3	1	1	2	1	1	0
sim.721.002	0	0	0	0	0	0	0	0	0	1	1	4	2	1
sim.722.002	1	1	2	2	1	1	2	2	2	0	1	0	1	1
sim.723.002	2	2	3	4	5	3	3	4	4	0	0	0	0	0
sim.724.002	2	1	2	1	2	2	1	3	4	0	0	0	0	0
sim.725.002	0	0	1	2	1	1	1	1	1	2	3	1	0	0
sim.726.002	2	1	0	0	0	0	0	0	0	1	1	2	1	1
sim.727.002	1	1	1	3	0	0	1	1	1	1	1	1	1	0
sim.728.002	1	1	0	0	0	0	0	0	0	1	2	1	1	1
sim.729.002	1	1	0	0	0	0	0	0	0	2	1	8	7	7
sim.73.002	0	0	0	0	0	0	0	0	0	1	1	1	1	2
sim.730.002	0	0	0	0	0	0	0	0	0	2	2	1	1	3
sim.731.002	0	1	1	2	1	1	1	1	1	4	4	3	4	5
sim.732.002	1	1	0	1	1	1	1	1	1	0	1	2	2	1
sim.733.002	2	0	2	2	2	2	2	2	2	1	1	1	1	1
sim.734.002	3	2	3	1	1	1	1	2	3	4	2	2	2	1
sim.735.002	1	1	2	3	2	2	2	2	2	1	1	1	1	1
sim.736.002	0	0	0	0	0	0	0	0	0	1	1	0	1	1
sim.737.002	0	0	0	0	0	0	0	0	0	2	3	1	1	1
sim.738.002	1	0	0	1	1	1	1	1	0	0	1	2	3	3
sim.739.002	1	2	1	1	1	1	1	1	1	0	0	0	0	0
sim.74.002	0	0	0	0	0	0	0	0	0	1	0	1	1	1
sim.740.002	2	3	1	1	1	1	1	1	1	1	1	0	0	0
sim.741.002	2	3	2	1	0	0	1	1	1	0	1	1	1	1
sim.742.002	0	1	1	1	1	0	1	1	1	0	0	0	0	0
sim.743.002	0	0	0	0	0	0	0	0	0	3	5	0	0	0
sim.744.002	2	1	1	1	1	1	1	1	1	4	4	3	2	5
sim.745.002	2	2	1	3	2	2	2	2	2	5	5	0	2	2
sim.746.002	2	2	4	4	5	4	4	3	4	1	1	0	0	0
sim.747.002	1	2	1	1	1	1	1	1	1	0	0	0	0	0
sim.748.002	0	0	1	0	1	1	1	2	0	0	0	0	0	0
sim.749.002	1	1	3	0	1	1	1	1	1	0	0	0	0	0
sim.75.002	2	2	5	5	5	5	5	5	7	1	1	4	3	3
sim.750.002	2	3	2	2	1	1	1	1	1	0	0	0	0	0
sim.751.002	0	0	0	0	0	0	0	0	0	1	1	1	1	1
sim.752.002	0	0	0	0	0	0	0	0	0	5	1	0	0	0
sim.753.002	1	0	1	1	1	1	1	1	1	2	2	2	1	1
sim.754.002	0	0	0	0	0	0	0	0	0	2	5	0	0	0
sim.755.002	0	0	0	0	0	0	0	0	0	1	2	3	2	2
sim.756.002	1	1	0	1	1	1	1	1	1	1	2	1	2	1
sim.757.002	0	0	0	0	0	0	0	0	0	2	1	0	1	1
sim.758.002	0	0	1	1	1	1	1	1	1	0	1	0	0	0
sim.759.002	0	1	1	1	1	1	1	1	1	0	0	2	1	1
sim.76.002	1	1	3	2	2	2	2	2	2	2	1	4	1	2
sim.760.002	3	3	3	3	2	2	3	2	2	1	2	2	2	2
sim.761.002	1	1	0	0	1	2	1	1	1	0	0	0	0	0
sim.762.002	1	1	0	1	1	1	2	2	1	1	1	1	1	1
sim.763.002	3	3	2	0	2	2	2	1	2	0	1	1	1	1
sim.764.002	2	1	2	1	2	2	2	4	3	0	0	0	0	0
sim.765.002	1	1	1	1	1	1	1	1	1	3	1	0	1	1
sim.766.002	0	0	0	0	0	0	0	0	0	1	1	1	3	3
sim.767.002	3	2	0	0	0	0	0	0	0	0	0	1	1	1
sim.768.002	0	0	0	0	0	0	0	0	0	4	4	1	3	3
sim.769.002	0	0	0	0	0	0	0	0	0	1	0	1	1	1
sim.77.002	0	0	1	2	1	1	1	2	1	1	1	0	0	0
sim.770.002	1	1	1	1	2	3	2	0	1	0	0	3	2	2
sim.771.002	1	1	1	1	1	1	1	1	1	2	2	1	0	1
sim.772.002	3	3	2	1	4	3	2	1	2	0	0	0	0	0
sim.773.002	3	2	3	2	3	3	3	3	2	0	0	0	0	0
sim.774.002	1	1	1	2	2	2	2	2	2	0	0	0	0	0
sim.775.002	1	1	0	1	1	1	1	1	1	0	0	0	0	0
sim.776.002	0	0	0	0	0	0	0	0	0	2	2	2	1	1
sim.777.002	2	2	1	1	2	2	2	1	1	1	0	1	0	0
sim.778.002	3	3	4	2	3	4	6	3	4	0	0	0	0	0
sim.779.002	3	4	5	6	7	7	6	4	6	2	2	2	4	4
sim.78.002	1	1	1	0	0	0	0	1	1	6	5	2	1	0
sim.780.002	0	0	0	0	0	0	0	0	0	3	1	2	2	2
sim.781.002	1	2	2	1	3	2	1	3	2	0	0	1	1	1
sim.782.002	4	3	2	2	2	2	2	2	2	2	4	3	3	3
sim.783.002	1	1	0	1	1	1	1	1	1	1	1	1	1	1
sim.784.002	1	1	1	1	1	1	1	0	0	1	1	0	0	0
sim.785.002	0	0	1	1	1	1	1	1	1	0	0	0	0	0
sim.786.002	1	2	1	1	0	0	1	1	1	0	0	1	1	1
sim.787.002	3	2	1	2	2	2	2	1	1	2	3	1	2	1
sim.788.002	0	1	2	2	2	2	2	1	1	0	0	0	0	0
sim.789.002	4	2	1	2	1	1	2	3	2	2	1	1	1	1
sim.79.002	1	0	1	1	1	0	0	1	1	1	1	1	1	1
sim.790.002	1	1	1	1	1	1	1	1	1	1	1	1	2	3
sim.791.002	0	1	1	1	1	1	1	1	1	2	2	2	2	2
sim.792.002	3	5	4	3	3	3	2	2	3	0	0	0	0	0
sim.793.002	0	0	0	0	0	0	0	0	0	1	1	1	0	3
sim.794.002	1	1	1	1	2	2	1	1	1	1	0	1	2	1
sim.795.002	0	0	0	0	0	0	0	0	0	0	1	1	2	2
sim.796.002	1	1	2	2	2	2	2	2	2	1	1	2	1	1
sim.797.002	3	2	2	2	1	1	1	3	3	1	1	3	2	1
sim.798.002	0	0	0	0	0	0	0	0	0	1	1	1	1	2
sim.799.002	4	3	2	2	2	1	2	2	2	3	2	0	2	2
sim.8.002	0	1	1	0	0	0	0	2	2	0	0	0	0	0
sim.80.002	1	0	1	1	1	1	1	0	0	1	0	0	0	0
sim.800.002	2	3	3	1	0	0	0	1	1	0	0	0	0	0
sim.801.002	1	1	2	1	1	1	1	1	1	0	0	2	0	1
sim.802.002	0	0	0	0	0	0	0	0	0	1	1	1	4	3
sim.803.002	0	0	0	0	0	0	0	0	0	0	0	2	2	3
sim.804.002	2	1	1	2	1	1	1	1	2	0	0	0	0	0
sim.805.002	2	2	1	1	1	1	1	1	1	0	0	0	0	0
sim.806.002	0	1	1	1	2	1	1	0	1	0	0	0	0	0
sim.807.002	1	1	0	1	1	1	1	0	1	1	1	3	2	3
sim.808.002	0	0	0	0	0	0	0	0	0	1	1	1	2	1
sim.809.002	0	0	0	0	0	0	0	0	0	1	1	0	1	1
sim.81.002	0	0	0	0	0	0	0	0	0	1	2	1	0	1
sim.810.002	1	1	1	0	1	1	1	3	2	0	0	0	0	0
sim.811.002	1	1	1	2	1	1	1	1	1	3	1	2	3	3
sim.812.002	0	1	1	1	1	1	1	1	1	0	0	1	1	1
sim.813.002	3	2	1	1	1	1	1	0	1	1	0	1	0	1
sim.814.002	1	1	2	1	1	1	1	1	1	0	0	0	0	0
sim.815.002	3	2	1	1	1	1	1	1	1	1	1	0	1	1
sim.816.002	0	0	0	0	0	0	0	0	0	1	1	1	1	1
sim.817.002	1	0	1	2	2	1	1	1	1	1	1	0	0	0
sim.818.002	2	2	3	3	2	1	2	1	2	1	1	0	0	0
sim.819.002	2	4	2	2	2	2	2	1	1	0	1	0	1	1
sim.82.002	1	1	0	0	1	1	1	0	0	0	0	1	1	1
sim.820.002	0	0	0	0	0	0	0	0	0	1	1	3	2	4
sim.821.002	3	3	1	2	3	2	0	2	2	5	3	4	4	4
sim.822.002	0	0	0	0	0	0	0	0	0	1	1	2	1	1
sim.823.002	1	1	1	1	2	2	2	1	1	2	3	3	1	1
sim.824.002	0	0	1	1	1	1	1	1	1	2	2	0	0	0
sim.825.002	2	2	2	0	1	1	1	2	2	0	0	2	2	2
sim.826.002	2	1	0	0	0	0	0	0	0	0	0	1	1	1
sim.827.002	1	1	1	1	1	1	1	1	2	0	0	0	0	0
sim.828.002	2	1	0	1	0	0	1	2	2	0	0	0	0	0
sim.829.002	2	1	5	1	4	4	5	3	3	1	1	0	0	0
sim.83.002	0	0	0	0	0	0	0	0	0	1	1	1	2	1
sim.830.002	1	1	2	3	2	2	1	1	1	1	1	1	0	0
sim.831.002	1	1	1	1	1	1	1	1	1	0	0	1	0	0
sim.832.002	0	0	0	0	0	0	0	0	0	0	1	1	1	1
sim.833.002	1	1	1	1	1	1	1	1	1	1	1	2	2	3
sim.834.002	3	2	2	3	3	3	3	3	2	1	1	1	1	1
sim.835.002	1	2	1	1	3	3	2	1	2	0	0	0	0	0
sim.836.002	4	3	3	3	3	3	3	2	2	0	0	1	1	1
sim.837.002	1	1	2	1	2	2	2	1	1	0	2	1	1	1
sim.838.002	1	1	2	1	1	1	1	1	1	0	0	0	0	0
sim.839.002	3	3	3	2	3	3	3	5	6	2	2	1	3	2
sim.84.002	2	2	4	4	3	5	4	5	5	1	1	2	2	2
sim.840.002	0	0	0	0	0	0	0	0	0	1	1	1	2	2
sim.841.002	2	2	0	0	1	1	1	1	1	0	1	1	1	1
sim.842.002	1	2	1	1	1	1	1	1	1	2	1	1	0	0
sim.843.002	0	0	0	0	0	0	0	0	0	1	2	2	2	2
sim.844.002	1	1	1	1	1	1	1	1	2	1	1	3	1	2
sim.845.002	1	0	1	1	1	1	1	1	1	0	0	0	0	0
