ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
3492	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3493	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3494	2	5	2	3	2	3	2	2	2	1	1	1	2	1
3495	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3496	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3497	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3498	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3499	0	1	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	1	0	1	1	2
350	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	1	1	1	1	1	1	1	1	1	0	0	0	0	0
3501	1	2	1	1	1	1	1	1	1	1	1	1	1	1
3502	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3503	1	1	1	1	1	1	1	1	1	1	1	1	1	2
3504	0	0	1	1	0	0	0	0	0	0	0	0	0	0
3505	1	1	1	1	1	1	1	1	1	1	1	1	2	1
3506	0	0	0	0	0	0	0	0	0	1	0	1	1	1
3507	0	1	1	1	1	1	1	1	1	0	0	0	0	0
3508	0	0	1	1	1	1	1	1	1	0	0	0	1	0
3509	0	0	0	0	0	0	0	0	0	0	0	1	1	3
351	1	1	1	1	1	1	1	1	1	1	1	1	0	1
3510	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3511	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3512	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3513	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3514	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3515.1	1	0	1	2	1	1	1	1	1	2	1	1	1	1
3515.2	2	3	1	3	1	1	1	1	1	3	2	4	3	5
3516	0	0	1	0	0	0	0	0	0	0	0	0	1	0
3517	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3518	0	0	0	0	0	0	0	0	0	0	0	0	0	1
