ogs	type	total	musDom	gloMor	7	droMel	droYak	13	12	droAna	11	droPse	10	droWil	9	8	droMoj	droVir	6	anoGam	anoSte	4	anoDar	3	aedAeg	culQui	5	2	1
sim.603.007	dup	20	0	2	1	0	1	0	1	1	NP	1	0	1	0	2	0	1	1	1	1	1	1	1	0	NP	0	3	0
sim.603.007	loss	6	1	0	0	1	0	0	0	0	NP	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0
sim.603.007	total	26	1	2	1	1	1	0	1	1	NP	1	0	1	0	4	0	1	1	1	1	2	1	1	0	1	0	3	0
sim.401.341	dup	530	NP	NP	NP	NP	NP	18	2	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	200	280	NP	30	NP	NP	NP	NP	NP	NP
sim.401.341	loss	13	NP	NP	NP	NP	NP	0	0	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	7	4	NP	2	NP	NP	NP	NP	NP	NP
sim.401.341	total	543	NP	NP	NP	NP	NP	18	2	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	207	284	NP	32	NP	NP	NP	NP	NP	NP
sim.904.007	dup	11	NP	NP	NP	NP	NP	1	2	NP	0	NP	1	NP	NP	NP	NP	NP	NP	1	0	NP	4	NP	2	0	NP	NP	NP
sim.904.007	loss	3	NP	NP	NP	NP	NP	1	0	NP	1	NP	0	NP	NP	NP	NP	NP	NP	0	1	NP	0	NP	0	0	NP	NP	NP
sim.904.007	total	14	NP	NP	NP	NP	NP	2	2	NP	1	NP	1	NP	NP	NP	NP	NP	NP	1	1	NP	4	NP	2	0	NP	NP	NP
sim.961.014	dup	19	1	1	2	1	1	NP	NP	1	NP	1	NP	0	3	1	2	3	0	NP	NP	0	NP	1	NP	NP	0	1	NP
sim.961.014	loss	5	1	0	0	0	0	NP	NP	1	NP	1	NP	1	0	0	1	0	0	NP	NP	0	NP	0	NP	NP	0	0	NP
sim.961.014	total	24	2	1	2	1	1	NP	NP	2	NP	2	NP	1	3	1	3	3	0	NP	NP	0	NP	1	NP	NP	0	1	NP
sim.218.005	dup	5	0	0	0	0	0	NP	NP	0	NP	1	NP	0	1	0	0	0	0	NP	NP	0	NP	0	NP	NP	0	3	NP
sim.218.005	loss	7	2	1	0	0	0	NP	NP	1	NP	0	NP	0	0	0	0	1	1	NP	NP	1	NP	0	NP	NP	0	0	NP
sim.218.005	total	12	2	1	0	0	0	NP	NP	1	NP	1	NP	0	1	0	0	1	1	NP	NP	1	NP	0	NP	NP	0	3	NP
sim.843.007	dup	8	NP	NP	NP	NP	NP	1	2	NP	NP	NP	2	NP	NP	NP	NP	NP	NP	0	0	NP	0	NP	3	0	NP	NP	NP
sim.843.007	loss	7	NP	NP	NP	NP	NP	3	0	NP	NP	NP	0	NP	NP	NP	NP	NP	NP	0	1	NP	0	NP	2	1	NP	NP	NP
sim.843.007	total	15	NP	NP	NP	NP	NP	4	2	NP	NP	NP	2	NP	NP	NP	NP	NP	NP	0	1	NP	0	NP	5	1	NP	NP	NP
sim.115.007	dup	10	1	1	0	0	0	1	0	2	NP	0	NP	0	0	0	0	1	NP	1	0	1	0	1	NP	NP	0	1	0
sim.115.007	loss	7	0	0	1	0	0	0	0	0	1	2	NP	1	0	0	1	0	NP	0	0	0	0	1	NP	NP	0	0	0
sim.115.007	total	17	1	1	1	0	0	1	0	2	1	2	NP	1	0	0	1	1	NP	1	0	1	0	2	NP	NP	0	1	0
sim.822.014	dup	3	NP	NP	0	0	0	NP	NP	1	NP	0	NP	NP	0	0	1	0	0	NP	NP	1	NP	NP	NP	NP	NP	NP	NP
sim.822.014	loss	4	NP	NP	1	0	0	NP	NP	0	NP	0	NP	2	1	0	0	0	0	NP	NP	0	NP	NP	NP	NP	NP	NP	NP
sim.822.014	total	7	NP	NP	1	0	0	NP	NP	1	NP	0	NP	2	1	0	1	0	0	NP	NP	1	NP	NP	NP	NP	NP	NP	NP
sim.926.007	dup	15	3	0	0	0	0	1	2	0	NP	0	0	NP	0	0	0	0	0	3	1	0	2	1	NP	1	NP	1	0
sim.926.007	loss	6	0	1	0	0	0	0	0	0	NP	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	NP	0	0
sim.926.007	total	21	3	1	0	0	0	1	2	0	NP	1	0	2	0	0	0	0	0	3	1	0	3	1	1	1	NP	1	0
sim.73.005	dup	26	2	2	0	0	0	1	2	2	0	1	1	1	2	0	2	0	0	1	1	1	3	0	0	2	0	2	0
sim.73.005	loss	8	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0
sim.73.005	total	34	3	3	0	0	1	1	2	2	0	2	1	1	3	0	3	0	0	1	2	1	3	0	1	2	0	2	0
sim.142.009	dup	4	NP	NP	NP	NP	NP	NP	NP	NP	0	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	4	0	NP	NP	NP
sim.142.009	loss	0	NP	NP	NP	NP	NP	NP	NP	NP	0	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	0	0	NP	NP	NP
sim.142.009	total	4	NP	NP	NP	NP	NP	NP	NP	NP	0	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	4	0	NP	NP	NP
sim.898.034	dup	91	15	13	4	3	4	NP	NP	3	NP	2	NP	8	4	8	8	6	1	NP	NP	2	NP	2	NP	NP	2	6	NP
sim.898.034	loss	42	0	4	0	5	5	NP	NP	5	NP	5	NP	4	3	1	2	2	1	NP	NP	2	NP	2	NP	NP	1	0	NP
sim.898.034	total	133	15	17	4	8	9	NP	NP	8	NP	7	NP	12	7	9	10	8	2	NP	NP	4	NP	4	NP	NP	3	6	NP
sim.278.009	dup	10	0	0	0	0	0	NP	NP	0	NP	1	NP	2	0	0	2	0	NP	NP	NP	2	NP	1	NP	NP	0	2	NP
sim.278.009	loss	11	1	1	1	0	0	NP	NP	0	NP	2	NP	1	0	1	0	1	1	NP	NP	0	NP	1	NP	NP	1	0	NP
sim.278.009	total	21	1	1	1	0	0	NP	NP	0	NP	3	NP	3	0	1	2	1	1	NP	NP	2	NP	2	NP	NP	1	2	NP
sim.600.005	dup	14	2	1	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	2	0	1	0	0	0	2	0
sim.600.005	loss	4	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
sim.600.005	total	18	2	2	0	1	0	1	0	0	0	1	0	0	4	0	0	1	0	0	1	2	0	1	0	0	0	2	0
sim.240.023	dup	14	NP	NP	0	0	1	NP	NP	1	NP	6	NP	0	1	0	0	0	1	NP	NP	2	NP	NP	NP	NP	2	NP	NP
sim.240.023	loss	9	NP	NP	2	0	0	NP	NP	0	NP	1	NP	2	1	1	0	1	0	NP	NP	0	NP	NP	NP	NP	1	NP	NP
sim.240.023	total	23	NP	NP	2	0	1	NP	NP	1	NP	7	NP	2	2	1	0	1	1	NP	NP	2	NP	NP	NP	NP	3	NP	NP
sim.524.114	dup	334	25	39	6	20	35	NP	NP	57	NP	30	NP	36	5	7	13	44	3	NP	NP	4	NP	2	NP	NP	0	8	NP
sim.524.114	loss	66	3	0	5	5	6	NP	NP	6	NP	7	NP	8	8	4	2	4	1	NP	NP	1	NP	6	NP	NP	0	0	NP
sim.524.114	total	400	28	39	11	25	41	NP	NP	63	NP	37	NP	44	13	11	15	48	4	NP	NP	5	NP	8	NP	NP	0	8	NP
sim.597.002	dup	1	NP	NP	NP	NP	NP	0	0	NP	NP	NP	0	NP	NP	NP	NP	NP	NP	1	0	NP	0	NP	NP	0	NP	NP	NP
sim.597.002	loss	1	NP	NP	NP	NP	NP	0	0	NP	NP	NP	0	NP	NP	NP	NP	NP	NP	0	0	NP	0	NP	1	0	NP	NP	NP
sim.597.002	total	2	NP	NP	NP	NP	NP	0	0	NP	NP	NP	0	NP	NP	NP	NP	NP	NP	1	0	NP	0	NP	1	0	NP	NP	NP
sim.232.007	dup	12	1	1	1	0	0	NP	NP	0	3	NP	NP	0	0	0	0	0	NP	NP	NP	0	NP	0	1	2	0	3	0
sim.232.007	loss	9	0	0	0	0	0	NP	1	1	0	1	NP	0	0	0	0	0	NP	NP	NP	2	NP	1	1	1	1	0	0
sim.232.007	total	21	1	1	1	0	0	NP	1	1	3	1	NP	0	0	0	0	0	NP	NP	NP	2	NP	1	2	3	1	3	0
sim.186.114	dup	285	NP	NP	NP	NP	NP	10	14	NP	2	NP	1	NP	NP	NP	NP	NP	NP	50	100	NP	74	NP	26	8	NP	NP	NP
sim.186.114	loss	25	NP	NP	NP	NP	NP	2	0	NP	1	NP	0	NP	NP	NP	NP	NP	NP	6	6	NP	8	NP	0	2	NP	NP	NP
sim.186.114	total	310	NP	NP	NP	NP	NP	12	14	NP	3	NP	1	NP	NP	NP	NP	NP	NP	56	106	NP	82	NP	26	10	NP	NP	NP
sim.836.007	dup	3	0	0	0	0	0	NP	NP	0	NP	NP	NP	NP	0	0	0	2	NP	NP	NP	0	NP	0	NP	NP	NP	1	NP
sim.836.007	loss	4	0	1	0	0	0	NP	NP	0	NP	1	NP	1	0	0	0	0	NP	NP	NP	1	NP	0	NP	NP	NP	0	NP
sim.836.007	total	7	0	1	0	0	0	NP	NP	0	NP	1	NP	1	0	0	0	2	NP	NP	NP	1	NP	0	NP	NP	NP	1	NP
sim.940.00057	dup	3	1	0	0	0	0	NP	0	1	0	0	0	0	0	0	0	0	1	0	NP	0	0	0	0	0	0	0	0
sim.940.00057	loss	2	0	0	0	0	0	NP	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
sim.940.00057	total	5	1	0	0	0	0	NP	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
sim.433.007	dup	19	NP	1	0	0	0	0	2	0	0	2	4	3	0	0	0	0	0	0	2	1	2	NP	1	0	0	1	0
sim.433.007	loss	15	1	0	0	0	0	0	1	1	2	0	0	1	0	0	1	1	1	2	0	0	1	1	0	2	0	0	0
sim.433.007	total	34	1	1	0	0	0	0	3	1	2	2	4	4	0	0	1	1	1	2	2	1	3	1	1	2	0	1	0
sim.351.00114	dup	2	NP	NP	0	0	0	NP	NP	0	0	0	NP	0	0	2	0	0	0	NP	NP	0	NP	NP	0	0	0	NP	0
sim.351.00114	loss	2	NP	NP	0	0	0	NP	1	0	0	0	NP	0	0	0	0	0	0	NP	NP	0	NP	1	0	0	0	NP	0
sim.351.00114	total	4	NP	NP	0	0	0	NP	1	0	0	0	NP	0	0	2	0	0	0	NP	NP	0	NP	1	0	0	0	NP	0
sim.295.023	dup	30	6	2	0	0	0	NP	NP	2	NP	NP	NP	NP	4	1	2	6	NP	NP	NP	NP	NP	3	NP	NP	NP	4	NP
sim.295.023	loss	17	2	2	0	1	0	NP	NP	0	NP	1	NP	1	1	0	1	2	NP	NP	NP	1	NP	2	NP	NP	3	0	NP
sim.295.023	total	47	8	4	0	1	0	NP	NP	2	NP	1	NP	1	5	1	3	8	NP	NP	NP	1	NP	5	NP	NP	3	4	NP
sim.396.114	dup	32	NP	NP	1	1	3	NP	NP	11	NP	NP	NP	NP	1	0	10	4	NP	NP	NP	1	NP	NP	NP	NP	NP	NP	NP
sim.396.114	loss	8	NP	NP	0	1	0	NP	NP	0	NP	2	NP	2	1	1	1	0	NP	NP	NP	0	NP	NP	NP	NP	NP	NP	NP
sim.396.114	total	40	NP	NP	1	2	3	NP	NP	11	NP	2	NP	2	2	1	11	4	NP	NP	NP	1	NP	NP	NP	NP	NP	NP	NP
sim.533.00114	dup	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sim.533.00114	loss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sim.533.00114	total	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sim.116.023	dup	2	1	0	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	1	NP	NP	NP	NP	NP
sim.116.023	loss	1	1	0	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	0	NP	NP	NP	NP	NP
sim.116.023	total	3	2	0	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	1	NP	NP	NP	NP	NP
sim.127.007	dup	19	1	0	0	0	0	0	0	0	NP	4	1	3	1	0	1	2	0	0	1	1	0	1	2	0	0	1	0
sim.127.007	loss	7	1	0	1	0	0	0	0	0	NP	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0
sim.127.007	total	26	2	0	1	0	0	0	0	0	NP	4	1	3	2	0	1	2	0	0	2	1	1	1	3	1	0	1	0
sim.147.00114	dup	0	0	0	NP	NP	NP	0	0	NP	0	NP	0	0	0	NP	0	0	NP	0	0	0	0	0	0	0	NP	0	0
sim.147.00114	loss	1	0	0	NP	NP	NP	0	0	NP	0	NP	0	0	0	NP	0	0	1	0	0	0	0	0	0	0	NP	0	0
sim.147.00114	total	1	0	0	NP	NP	NP	0	0	NP	0	NP	0	0	0	NP	0	0	1	0	0	0	0	0	0	0	NP	0	0
sim.381.114	dup	105	4	0	0	24	11	NP	NP	2	NP	10	NP	1	3	8	7	29	0	NP	NP	4	NP	1	NP	NP	1	0	NP
sim.381.114	loss	22	0	1	0	3	2	NP	NP	3	NP	3	NP	3	2	0	3	0	1	NP	NP	0	NP	0	NP	NP	1	0	NP
sim.381.114	total	127	4	1	0	27	13	NP	NP	5	NP	13	NP	4	5	8	10	29	1	NP	NP	4	NP	1	NP	NP	2	0	NP
sim.738.007	dup	5	0	1	0	0	1	NP	NP	1	NP	0	NP	0	0	1	0	0	0	NP	NP	1	NP	0	NP	NP	0	0	NP
sim.738.007	loss	4	0	0	0	0	1	NP	NP	0	NP	1	NP	1	1	0	0	0	0	NP	NP	0	NP	0	NP	NP	0	0	NP
sim.738.007	total	9	0	1	0	0	2	NP	NP	1	NP	1	NP	1	1	1	0	0	0	NP	NP	1	NP	0	NP	NP	0	0	NP
sim.1.002	dup	1	NP	NP	NP	NP	NP	0	0	NP	0	NP	1	NP	NP	NP	NP	NP	NP	0	0	NP	0	NP	0	0	NP	NP	NP
sim.1.002	loss	1	NP	NP	NP	NP	NP	0	0	NP	0	NP	0	NP	NP	NP	NP	NP	NP	0	0	NP	1	NP	0	0	NP	NP	NP
sim.1.002	total	2	NP	NP	NP	NP	NP	0	0	NP	0	NP	1	NP	NP	NP	NP	NP	NP	0	0	NP	1	NP	0	0	NP	NP	NP
sim.988.023	dup	3	NP	3	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP
sim.988.023	loss	0	NP	0	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP
sim.988.023	total	3	NP	3	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP
sim.936.009	dup	23	0	NP	0	1	0	NP	NP	2	NP	1	NP	7	0	1	4	1	2	NP	NP	4	NP	NP	NP	NP	0	0	NP
sim.936.009	loss	9	0	1	2	0	2	NP	NP	1	NP	0	NP	1	1	0	0	0	1	NP	NP	0	NP	NP	NP	NP	0	0	NP
sim.936.009	total	32	0	1	2	1	2	NP	NP	3	NP	1	NP	8	1	1	4	1	3	NP	NP	4	NP	NP	NP	NP	0	0	NP
sim.542.009	dup	5	NP	NP	NP	NP	NP	1	0	NP	NP	NP	1	NP	NP	NP	NP	NP	NP	1	0	NP	1	NP	1	NP	NP	NP	NP
sim.542.009	loss	4	NP	NP	NP	NP	NP	1	0	NP	1	NP	0	NP	NP	NP	NP	NP	NP	0	1	NP	0	NP	0	1	NP	NP	NP
sim.542.009	total	9	NP	NP	NP	NP	NP	2	0	NP	1	NP	1	NP	NP	NP	NP	NP	NP	1	1	NP	1	NP	1	1	NP	NP	NP
sim.525.057	dup	280	11	25	6	23	25	NP	NP	28	NP	15	NP	34	6	17	39	21	3	NP	NP	15	NP	4	NP	NP	0	8	NP
sim.525.057	loss	96	5	2	2	9	8	NP	NP	13	NP	9	NP	13	10	4	4	6	4	NP	NP	2	NP	4	NP	NP	1	0	NP
sim.525.057	total	376	16	27	8	32	33	NP	NP	41	NP	24	NP	47	16	21	43	27	7	NP	NP	17	NP	8	NP	NP	1	8	NP
sim.396.057	dup	62	17	29	NP	NP	NP	NP	NP	NP	NP	NP	NP	1	NP	NP	NP	9	NP	NP	NP	0	NP	3	NP	NP	NP	3	NP
sim.396.057	loss	11	3	2	NP	NP	NP	NP	NP	NP	NP	NP	NP	0	NP	NP	2	0	1	NP	NP	2	NP	0	NP	NP	1	0	NP
sim.396.057	total	73	20	31	NP	NP	NP	NP	NP	NP	NP	NP	NP	1	NP	NP	2	9	1	NP	NP	2	NP	3	NP	NP	1	3	NP
sim.504.009	dup	6	1	2	0	0	NP	NP	NP	0	NP	0	NP	0	NP	NP	NP	0	0	NP	NP	0	NP	2	NP	NP	0	1	NP
sim.504.009	loss	4	1	0	0	0	1	NP	NP	0	NP	0	NP	0	NP	NP	1	0	0	NP	NP	1	NP	0	NP	NP	0	0	NP
sim.504.009	total	10	2	2	0	0	1	NP	NP	0	NP	0	NP	0	NP	NP	1	0	0	NP	NP	1	NP	2	NP	NP	0	1	NP
sim.421.114	dup	312	NP	NP	NP	NP	NP	6	3	NP	7	NP	2	NP	NP	NP	NP	NP	NP	55	34	NP	58	NP	85	62	NP	NP	NP
sim.421.114	loss	14	NP	NP	NP	NP	NP	2	1	NP	1	NP	0	NP	NP	NP	NP	NP	NP	1	3	NP	2	NP	2	2	NP	NP	NP
sim.421.114	total	326	NP	NP	NP	NP	NP	8	4	NP	8	NP	2	NP	NP	NP	NP	NP	NP	56	37	NP	60	NP	87	64	NP	NP	NP
sim.555.023	dup	184	19	15	8	7	13	NP	NP	13	NP	7	NP	24	8	10	16	8	3	NP	NP	11	NP	7	NP	NP	1	14	NP
sim.555.023	loss	80	4	5	3	7	4	NP	NP	5	NP	9	NP	8	5	6	6	5	0	NP	NP	3	NP	6	NP	NP	4	0	NP
sim.555.023	total	264	23	20	11	14	17	NP	NP	18	NP	16	NP	32	13	16	22	13	3	NP	NP	14	NP	13	NP	NP	5	14	NP
sim.983.005	dup	1	NP	NP	0	0	0	NP	NP	0	NP	NP	NP	0	0	0	0	1	NP	NP	NP	0	NP	NP	NP	NP	0	NP	NP
sim.983.005	loss	1	NP	NP	0	0	0	NP	NP	0	NP	1	NP	0	0	0	0	0	NP	NP	NP	0	NP	NP	NP	NP	0	NP	NP
sim.983.005	total	2	NP	NP	0	0	0	NP	NP	0	NP	1	NP	0	0	0	0	1	NP	NP	NP	0	NP	NP	NP	NP	0	NP	NP
sim.942.023	dup	41	3	0	1	4	0	NP	NP	1	NP	4	NP	3	4	3	5	5	0	NP	NP	6	NP	0	NP	NP	1	1	NP
sim.942.023	loss	26	0	1	0	2	1	NP	NP	4	NP	3	NP	4	4	1	2	2	1	NP	NP	0	NP	0	NP	NP	1	0	NP
sim.942.023	total	67	3	1	1	6	1	NP	NP	5	NP	7	NP	7	8	4	7	7	1	NP	NP	6	NP	0	NP	NP	2	1	NP
sim.85.023	dup	20	11	5	0	0	0	NP	NP	0	NP	0	NP	NP	NP	NP	NP	NP	0	NP	NP	NP	NP	3	NP	NP	NP	1	NP
sim.85.023	loss	10	0	1	0	1	1	NP	NP	1	NP	1	NP	2	2	NP	NP	NP	0	NP	NP	NP	NP	1	NP	NP	NP	0	NP
sim.85.023	total	30	11	6	0	1	1	NP	NP	1	NP	1	NP	2	2	NP	NP	NP	0	NP	NP	NP	NP	4	NP	NP	NP	1	NP
sim.254.002	dup	0	NP	NP	0	0	0	NP	NP	0	NP	0	NP	0	NP	0	0	NP	0	NP	NP	0	NP	NP	NP	NP	0	NP	NP
sim.254.002	loss	1	NP	NP	0	0	0	NP	NP	0	NP	0	NP	0	NP	0	0	1	0	NP	NP	0	NP	NP	NP	NP	0	NP	NP
sim.254.002	total	1	NP	NP	0	0	0	NP	NP	0	NP	0	NP	0	NP	0	0	1	0	NP	NP	0	NP	NP	NP	NP	0	NP	NP
sim.905.014	dup	49	2	1	2	1	4	NP	NP	4	NP	3	NP	14	0	1	5	0	1	NP	NP	5	NP	0	NP	NP	0	6	NP
sim.905.014	loss	26	1	0	1	0	1	NP	NP	3	NP	4	NP	3	4	3	1	1	0	NP	NP	0	NP	3	NP	NP	1	0	NP
sim.905.014	total	75	3	1	3	1	5	NP	NP	7	NP	7	NP	17	4	4	6	1	1	NP	NP	5	NP	3	NP	NP	1	6	NP
sim.233.00057	dup	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sim.233.00057	loss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sim.233.00057	total	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sim.4.014	dup	26	4	4	2	4	0	NP	NP	2	NP	3	NP	0	0	0	0	2	0	NP	NP	0	NP	1	NP	NP	0	4	NP
