desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10251	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10256	1	1	1	1	1	1	1	1	1	0	1	0	0	0
none	10261	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10264	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	10266	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10268	1	1	1	1	1	1	1	1	1	2	1	1	2	1
none	10271	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10274	1	0	0	0	0	0	0	0	0	0	1	0	2	1
none	10276	5	0	2	2	3	2	2	2	2	6	5	2	10	7
none	10279	1	2	1	1	0	1	1	1	1	1	1	1	1	3
none	10282	1	0	1	1	1	1	1	1	1	1	1	1	2	2
none	10287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
none	10292	1	1	1	1	1	1	1	1	1	1	1	0	1	0
none	10294	1	1	1	1	1	1	1	1	1	1	1	1	3	1
none	10299.1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
none	10299.2	1	1	0	0	0	0	2	1	1	1	1	1	1	1
none	10300	0	1	0	0	0	0	0	1	0	0	0	1	1	1
none	10302	1	0	2	2	1	0	1	1	1	2	1	1	2	1
none	10305	1	1	1	1	1	1	1	1	1	1	1	1	4	4
none	10311	1	3	1	1	1	1	1	1	1	1	1	1	1	1
none	10313	1	1	1	2	1	1	1	1	1	1	1	0	1	2
none	10315	1	2	1	1	1	1	1	1	1	0	1	1	2	1
none	10317	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10326	1	1	2	2	2	2	3	2	4	1	1	1	1	1
none	10327	2	0	1	1	1	1	1	1	1	1	0	1	1	2
none	10330	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10332	1	1	1	1	1	1	1	1	1	3	3	1	2	3
none	10333	1	0	2	2	2	1	1	1	1	1	0	0	2	1
none	10337	1	1	1	1	1	1	1	1	1	2	1	2	1	6
none	1034	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	10340	1	2	1	1	1	1	1	1	1	1	0	1	1	1
none	10341.1	1	1	1	1	1	1	1	1	1	0	0	1	0	0
none	10341.2	1	1	1	0	0	0	0	0	0	1	1	1	2	4
none	10348	1	1	1	1	1	1	2	1	1	2	1	4	0	1
none	10351	1	0	0	0	0	0	0	0	0	0	0	1	1	1
none	10352	1	1	1	1	1	1	2	1	1	1	0	0	1	1
none	10356	0	0	0	0	0	0	0	1	1	0	0	0	0	1
none	10357	1	1	1	2	1	1	1	1	1	2	1	1	1	1
none	1036	2	3	2	2	2	2	2	2	2	1	1	1	1	1
none	10363	1	0	1	1	1	1	1	1	1	1	1	1	2	0
none	10365	1	2	1	1	1	1	1	1	1	1	0	1	1	1
none	10367	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10377	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10380	1	1	1	1	1	1	0	1	1	1	1	1	1	1
none	10383	1	0	0	0	0	0	0	0	0	0	1	0	0	0
none	10384.1	1	1	0	0	0	0	1	0	0	0	0	0	1	1
none	10384.2.1.1.1	9	3	9	13	8	15	4	6	21	10	4	8	14	27
