ogs	desc	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
10251	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10256	none	1	1	1	1	1	1	1	1	1	0	1	0	0	0
10261	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10264	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10266	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10268	none	1	1	1	1	1	1	1	1	1	2	1	1	2	1
10271	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10274	none	1	0	0	0	0	0	0	0	0	0	1	0	2	1
10276	none	5	0	2	2	3	2	2	2	2	6	5	2	10	7
10279	none	1	2	1	1	0	1	1	1	1	1	1	1	1	3
10282	none	1	0	1	1	1	1	1	1	1	1	1	1	2	2
10287	none	1	1	1	1	1	1	1	1	1	1	1	0	1	1
10292	none	1	1	1	1	1	1	1	1	1	1	1	0	1	0
10294	none	1	1	1	1	1	1	1	1	1	1	1	1	3	1
10299.1	none	1	1	1	1	1	1	1	1	1	0	0	0	1	1
10299.2	none	1	1	0	0	0	0	2	1	1	1	1	1	1	1
10300	none	0	1	0	0	0	0	0	1	0	0	0	1	1	1
10302	none	1	0	2	2	1	0	1	1	1	2	1	1	2	1
10305	none	1	1	1	1	1	1	1	1	1	1	1	1	4	4
10311	none	1	3	1	1	1	1	1	1	1	1	1	1	1	1
10313	none	1	1	1	2	1	1	1	1	1	1	1	0	1	2
10315	none	1	2	1	1	1	1	1	1	1	0	1	1	2	1
10317	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10326	none	1	1	2	2	2	2	3	2	4	1	1	1	1	1
10327	none	2	0	1	1	1	1	1	1	1	1	0	1	1	2
10330	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10332	none	1	1	1	1	1	1	1	1	1	3	3	1	2	3
10333	none	1	0	2	2	2	1	1	1	1	1	0	0	2	1
10337	none	1	1	1	1	1	1	1	1	1	2	1	2	1	6
1034	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10340	none	1	2	1	1	1	1	1	1	1	1	0	1	1	1
10341.1	none	1	1	1	1	1	1	1	1	1	0	0	1	0	0
10341.2	none	1	1	1	0	0	0	0	0	0	1	1	1	2	4
10348	none	1	1	1	1	1	1	2	1	1	2	1	4	0	1
10351	none	1	0	0	0	0	0	0	0	0	0	0	1	1	1
10352	none	1	1	1	1	1	1	2	1	1	1	0	0	1	1
10356	none	0	0	0	0	0	0	0	1	1	0	0	0	0	1
10357	none	1	1	1	2	1	1	1	1	1	2	1	1	1	1
1036	none	2	3	2	2	2	2	2	2	2	1	1	1	1	1
10363	none	1	0	1	1	1	1	1	1	1	1	1	1	2	0
10365	none	1	2	1	1	1	1	1	1	1	1	0	1	1	1
10367	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10377	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10380	none	1	1	1	1	1	1	0	1	1	1	1	1	1	1
10383	none	1	0	0	0	0	0	0	0	0	0	1	0	0	0
10384.1	none	1	1	0	0	0	0	1	0	0	0	0	0	1	1
10384.2.1.1.1	none	9	3	9	13	8	15	4	6	21	10	4	8	14	27
10384.2.1.1.2.1.1.1.1.1	none	1	1	1	1	1	1	2	1	1	1	1	1	2	1
10384.2.1.1.2.1.1.1.1.2	none	1	2	1	1	1	1	1	1	1	5	3	3	7	8
10384.2.1.1.2.1.1.1.2	none	3	0	0	0	0	0	0	0	0	1	0	1	8	2
10384.2.1.1.2.1.1.2.1	none	0	1	0	0	0	0	0	1	0	3	1	2	16	20
10384.2.1.1.2.1.1.2.2.1	none	2	2	0	0	0	0	0	0	0	0	0	0	3	5
10384.2.1.1.2.1.1.2.2.2.1	none	1	0	0	0	0	0	0	0	0	0	0	0	9	0
10384.2.1.1.2.1.1.2.2.2.2	none	2	2	0	1	1	1	1	0	0	1	1	0	1	2
10384.2.1.1.2.1.2	none	1	0	0	0	0	0	0	0	0	1	1	1	8	5
10384.2.1.1.2.2	none	0	0	0	0	1	6	0	0	1	4	1	1	3	17
10384.2.1.2.1	none	0	1	0	0	0	0	0	0	0	1	0	2	4	0
10384.2.1.2.2	none	1	0	0	0	0	0	0	0	0	0	0	0	11	1
10384.2.2	none	1	1	0	0	0	0	0	0	0	0	0	0	1	1
1039	none	2	1	1	1	1	1	1	1	1	1	1	0	0	0
10390	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10392	none	1	1	1	1	1	1	1	1	1	1	0	1	1	5
10397	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10401.1	none	1	1	1	1	1	1	1	1	1	1	1	2	1	1
10401.2	none	1	1	1	1	1	1	1	1	2	1	1	1	2	1
10406	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1042	none	1	1	1	2	1	1	1	1	1	1	1	1	1	1
10420	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10421	none	0	0	0	0	0	0	0	0	1	0	0	0	0	2
10426	none	1	1	0	1	1	1	1	1	1	0	1	0	1	1
1043	none	1	2	1	1	1	1	3	1	1	1	1	1	1	5
10433	none	1	1	1	1	1	1	1	1	1	1	1	1	2	0
10441	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10442	none	1	1	1	1	1	1	1	1	1	0	0	0	0	1
10447	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10450	none	1	2	1	2	1	1	1	1	1	1	1	1	1	1
10452	none	1	2	1	1	1	2	1	1	1	1	1	1	1	4
10455	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10456	none	1	1	1	1	1	1	1	2	1	1	1	1	1	1
10460	none	1	4	1	1	1	1	1	1	1	1	1	1	0	1
10464	none	1	0	1	2	1	1	1	1	1	1	1	1	1	2
10466	none	1	2	1	1	1	1	1	1	1	1	2	0	2	1
10467	none	1	1	1	1	1	1	1	1	1	0	0	1	0	0
10468	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
1047	none	1	1	1	1	1	1	2	1	1	1	1	1	2	2
10471	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
