baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000003	152.591293116506	0.00168454425504185	0.218773538552193	0.00769994518619523	0.993856393325175	0.998789795999624
FBgn0000008	467.384716442926	-0.0529073490974684	0.121995953566098	-0.433681179997522	0.664519974999877	0.937955048126702
FBgn0000014	275.066766330894	-0.281914882213566	0.157517293400712	-1.78973924784497	0.0734958397544868	0.517909102155336
FBgn0000015	119.224415978955	-0.189113542991549	0.172956461259653	-1.09341704619893	0.274210732563356	0.776513286761366
FBgn0000017	2259.05571589852	0.0936628115829203	0.146139076372548	0.640915584714305	0.521577529753249	0.897948856737285
FBgn0000018	282.932448849202	-0.0417807356176698	0.139192900930417	-0.300164270867206	0.764051856895748	0.957860552413213
FBgn0000022	3.65386863806814	0.137065385289723	0.119707741596212	1.14500017678105	0.252209084145562	NA
FBgn0000024	353.929555449966	-0.213372738747023	0.137510134149014	-1.55168737247975	0.120737045588039	0.609432004815419
FBgn0000028	14.6906009297362	0.00826039971282961	0.218737754218037	0.0377639413111816	0.969875894517301	0.996827262001408
FBgn0000032	2247.0614517912	-0.0270451158699195	0.114789023544788	-0.23560716029061	0.813737516756958	0.968951162995141
FBgn0000036	66.3727403200819	-0.102560748094527	0.20408392752318	-0.502542014646785	0.615286305956168	0.922279798910178
FBgn0000037	78.550224218048	0.141209156941586	0.203269503875037	0.694689337306575	0.487250011667337	0.885383482996648
FBgn0000038	388.913515685458	-0.197809090110101	0.170515662274429	-1.16006405201504	0.246022728756247	0.756966865073448
FBgn0000039	76.7238915317602	0.080070774917426	0.208487386975164	0.38405572672348	0.700937144720674	0.946437294230849
FBgn0000042	53856.1003296002	-0.0109446007561962	0.0741022407734307	-0.147695948758953	0.882582728993867	0.983445936996373
FBgn0000043	5774.45106359347	-0.0153140180269151	0.111812799822478	-0.136961224933359	0.891061444240089	0.983736781837537
FBgn0000044	21552.2834564947	-0.26174800065055	0.16227828789453	-1.61295761772314	0.106753715935585	0.586145279557564
FBgn0000045	24473.485038796	-0.0954331472957131	0.193778816013998	-0.492484933383117	0.622376570396187	0.924641390098802
FBgn0000046	5938.12779772091	-0.053961121434994	0.164932568707051	-0.327170805972461	0.743538700345481	0.955890720205621
FBgn0000047	39267.5503933548	-0.226106527453858	0.196316855530248	-1.15174281313313	0.249426773626262	0.759809306727625
FBgn0000052	2911.6641646628	-0.176233236864017	0.119831996954258	-1.4706692815216	0.141380577523581	0.643889209713757
FBgn0000053	2942.87162744351	-0.346102152882255	0.155899993856534	-2.22002672559919	0.026416953493864	0.321127485976174
FBgn0000054	1343.45471909432	0.230088648340344	0.105533101131795	2.18025099113687	0.0292388617172296	0.339162884205486
FBgn0000055	31717.9902442491	-0.257580880432806	0.169497159031857	-1.51967668310236	0.128592254607776	0.622601067395636
FBgn0000056	323.699077657763	-0.224649695565403	0.205485619045505	-1.09326237334232	0.274278618240445	0.776513286761366
FBgn0000057	1106.51818910548	0.109540394041876	0.105423772957796	1.03904831869116	0.298782264908809	0.795063507269369
FBgn0000061	11.1829563960348	0.0346593111368583	0.204989031985614	0.169078856566778	0.865734615496942	0.981238694297277
FBgn0000063	845.659410434975	0.169667047217989	0.139805285891407	1.21359536684311	0.224902277160936	0.743044247556262
FBgn0000064	24829.8588848486	-0.265268189165301	0.148463589129454	-1.78675586869989	0.0739769549224946	0.518843349718889
FBgn0000071	158.658400326602	-0.117866677588275	0.216275653315868	-0.544983569723089	0.585764817879251	0.917106167164391
FBgn0000075	119.439854759943	-0.0977878709455638	0.224592443800029	-0.435401428877239	0.663271073390437	0.937400458675194
FBgn0000077	390.694936695828	-0.00495508217095463	0.154705306802537	-0.0320291674110392	0.974448790594866	0.997356149453485
FBgn0000078	2579.25838046351	-0.0902858744648593	0.217385448739681	-0.41532620968102	0.677903116871395	0.940148362979572
FBgn0000079	16944.5787082585	0.0226818950293597	0.200872079434005	0.112917111692527	0.910096269927144	0.988369518606036
FBgn0000083	4367.40711070439	0.0425922408852336	0.133955457690084	0.317958234921445	0.750516617804931	0.956492264897471
FBgn0000084	1929.13018836871	0.177480068234288	0.144475741521978	1.22844199562242	0.219281091198584	0.739774491364525
FBgn0000092	185.87449809314	0.201846810570273	0.176416861053682	1.14414693337534	0.252562706378446	0.760622841365385
FBgn0000094	0.672279170788896	0.0561404253664711	0.0607738240920348	0.923759960891272	0.355611305756608	NA
FBgn0000097	1493.8475814324	-0.00718582094900797	0.125719379687025	-0.0571576233266254	0.954419634628344	0.994328218195568
FBgn0000099	334.144507520288	-0.18013711502932	0.148795777695588	-1.21063324389387	0.226035997429476	0.744069256956465
FBgn0000100	28606.5749749331	-0.0464319783491432	0.11438401824939	-0.405930645380093	0.684793560233852	0.94144459196601
FBgn0000108	696.042831533278	-0.110652806959866	0.13320741338489	-0.830680546585989	0.406154118806456	0.855862977333486
FBgn0000109	445.979961481294	-0.108560672370165	0.121133848026896	-0.896204274349979	0.370143673247986	0.837032859792105
FBgn0000114	12423.1988595559	0.0268525399591274	0.124882322664749	0.215022746103258	0.829749584491395	0.971461514856437
FBgn0000115	1153.47581200041	0.210790888189206	0.0994143480734644	2.12032661556496	0.0339785106160102	0.366391055854464
FBgn0000116	18217.7803514291	-0.268988310894984	0.142962853654398	-1.88152589304942	0.0599004164147951	0.474389144223857
FBgn0000117	9698.27611009124	0.0739291002995439	0.0834265195633423	0.88615827061337	0.37553224661814	0.83901857572284
FBgn0000119	524.991387787587	-0.33894029017719	0.13747231510922	-2.46551671082216	0.0136815793169485	0.225028634703429
FBgn0000120	5065.11011510533	-0.0932858441708726	0.151123341181731	-0.617282832958896	0.53704818802354	0.900723653924686
FBgn0000121	5425.50309236291	-0.065723833683302	0.138130368856274	-0.47581016562468	0.634209626941124	0.926349230331537
FBgn0000137	9.45914136205453	-0.144789452850083	0.179779253828416	-0.805373533190168	0.420604160017456	0.860713406204068
FBgn0000139	987.052140634879	-0.0128324227149389	0.103456931044036	-0.124036375189565	0.901286474201147	0.987323721776848
FBgn0000140	5456.43569506891	0.0410588370392346	0.147722275241951	0.277946145711506	0.781053699811901	0.963304322453883
FBgn0000146	1730.33806707603	-0.038480335452155	0.106607265501582	-0.360954155151686	0.718133718746034	0.949637856556902
FBgn0000147	1690.03648762445	0.0962575508684287	0.141326767903206	0.681099216351957	0.495808712901909	0.88891615047747
FBgn0000150	19761.0527918331	0.143099707778328	0.105066748523755	1.36198854336845	0.173201500736157	0.685120207457861
FBgn0000152	672.383022039896	0.0015306478878432	0.111695139590436	0.0137038003037177	0.989066291528811	0.99818982811707
FBgn0000153	946.444833219738	-0.331242275740358	0.198177086522681	-1.67144588485232	0.0946336391241659	0.563241081823746
FBgn0000157	78.2337036937259	0.116967123144818	0.211163620983558	0.553917017524174	0.57963563816694	0.91510720131162
FBgn0000158	918.002623953207	0.211258424194	0.152233064220893	1.38773022322838	0.165219209233487	0.674218075769809
FBgn0000163	2003.72289650229	-0.229569821067255	0.0938725279302479	-2.44554851274313	0.0144631989287446	0.232727919178571
FBgn0000166	1785.0028768799	0.192931169047003	0.127129828716529	1.51759166982909	0.129117368146418	0.623518377815716
FBgn0000173	3690.10936988679	0.053292013837969	0.108988061017745	0.48897111610502	0.624862145964612	0.924641390098802
FBgn0000179	35.5459227864471	-0.183683855665709	0.220452830944591	-0.83321159850234	0.404725402397714	0.854808782719182
FBgn0000180	80.42457209554	0.147044036467484	0.204230754791475	0.719989683324729	0.471531347585066	0.880296613214102
FBgn0000181	16185.6748704773	0.194613511605818	0.0951415319447511	2.04551585020547	0.0408040281871836	0.400517775112769
FBgn0000182	7045.46173205109	0.185673795910232	0.176165036555484	1.0539764276764	0.291893709471055	0.788892343436941
FBgn0000183	4487.30771841795	0.0169421449028389	0.122206359802539	0.138635541801703	0.889738156201298	0.983445936996373
FBgn0000206	256.231247055406	-0.100078785716944	0.188100353252139	-0.532049961558519	0.594691392612951	0.917815765621129
FBgn0000210	195.443576550122	-0.275883042680613	0.153558387606264	-1.79660028332675	0.0723990994027725	0.514150025677923
FBgn0000212	3434.63104662575	0.10298541393653	0.131062962621839	0.785770532546847	0.43200193305625	0.866120656235735
FBgn0000216	29.5556019946555	0.319050217058672	0.212244659828531	1.50321905538838	0.132782565261545	0.631312495383134
FBgn0000221	339.499441092476	0.131869555401125	0.132999578421105	0.991503559384205	0.321439755182046	0.812059910161757
FBgn0000227	0	NA	NA	NA	NA	NA
FBgn0000228	1785.13554320486	-0.032718020824656	0.104592387539382	-0.312814551750593	0.754421559135987	0.956665990317642
FBgn0000229	840.517316091101	-0.152720039994533	0.130122350501929	-1.17366493462066	0.240529260759958	0.754131599718728
FBgn0000233	16.8916132674113	-0.0966930530886068	0.221468855604028	-0.436598874477808	0.662402279051163	0.936866038345654
FBgn0000239	4747.76452585678	-0.014565891091587	0.104129090468285	-0.139883014689574	0.888752421645963	0.983445936996373
FBgn0000241	129.394384040393	0.713910036621171	0.209838347816852	3.40219051497811	0.000668480199671491	0.0296554861487731
FBgn0000244	1026.7606216357	-0.0749115326421222	0.134445968730164	-0.557186900802295	0.577399738597085	0.914721050075792
FBgn0000246	888.580515112567	0.00103333782377196	0.16528783831437	0.00625174746254833	0.995011859714649	0.99893277399791
FBgn0000247	1691.45440656331	-0.0676482407562874	0.122029239012989	-0.554360916313563	0.579331868351374	0.91510720131162
FBgn0000250	6460.3594387522	0.339134661425327	0.0974295046739853	3.4808209541876	0.00049987952326383	0.0238890922383809
FBgn0000251	3003.87639622875	0.218334124401549	0.134166210529417	1.6273406213085	0.10366477506705	0.580245157852428
FBgn0000253	15414.6129136034	0.046222825287825	0.138061661424315	0.334798414063446	0.737777156938364	0.95554747065995
FBgn0000256	1074.50736215206	0.0464826758715962	0.095102113967823	0.488765958318479	0.625007401106622	0.924641390098802
FBgn0000257	917.578723410506	0.103961658315442	0.111888308101151	0.929155691776629	0.352808406058952	0.827812180030063
FBgn0000259	4046.49339862624	0.0433047158371089	0.137033790092844	0.316014873468572	0.751991218811785	0.956492264897471
FBgn0000261	8619.25796769418	-0.167405257947601	0.196323378129087	-0.852701596432026	0.393824805367876	0.851502758790543
FBgn0000273	3449.40435308876	-0.0134465224079465	0.122748198610171	-0.109545578348165	0.91276977296779	0.989078624411519
