OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.680.014	none	0	0	3	1	0	0	1	0	2	0	0	0	0	0
sim.681.014	none	0	0	0	0	0	0	0	0	0	4	2	0	0	0
sim.682.014	none	0	0	0	0	0	0	0	0	0	7	10	6	6	8
sim.683.014	none	0	0	0	0	0	0	0	0	0	6	0	1	0	0
sim.684.014	none	0	0	0	0	0	0	0	0	0	3	3	2	5	3
sim.685.014	none	0	0	0	0	0	0	0	0	0	1	4	0	0	0
sim.686.014	none	0	0	0	0	0	0	0	0	0	0	2	4	1	4
sim.687.014	none	0	0	0	0	0	0	0	0	0	0	2	5	3	5
sim.688.014	none	0	0	0	0	0	0	0	0	0	0	0	3	10	7
sim.689.014	none	0	0	0	0	0	0	0	0	0	5	4	1	0	0
sim.69.014	none	3	5	5	0	2	1	3	5	1	0	0	0	0	0
sim.690.014	none	7	15	0	2	3	5	6	2	2	0	0	0	0	0
sim.691.014	none	3	3	8	6	4	3	3	7	9	0	0	0	0	0
sim.692.014	none	0	0	0	0	0	0	0	0	0	0	0	4	4	2
sim.693.014	none	3	2	2	2	5	4	11	4	6	0	0	0	0	0
sim.694.014	none	0	0	0	0	0	0	0	0	0	13	13	4	16	22
sim.695.014	none	0	0	0	0	0	0	0	0	0	5	6	2	2	6
sim.696.014	none	0	0	3	1	3	1	3	2	1	5	11	2	1	0
sim.697.014	none	0	0	8	8	7	10	2	11	5	0	0	0	3	3
sim.698.014	none	0	0	0	0	0	0	0	0	0	4	8	2	0	0
sim.699.014	none	3	5	0	0	0	0	0	0	0	0	3	0	2	0
sim.7.014	none	0	0	0	0	0	0	0	0	0	1	3	0	0	0
sim.70.014	none	1	1	0	0	0	0	0	1	0	0	2	0	0	0
sim.700.014	none	0	0	0	0	0	0	0	0	0	8	1	0	0	0
sim.701.014	none	0	0	0	0	0	0	0	0	0	0	0	4	2	1
sim.702.014	none	3	3	6	6	9	8	3	6	1	0	0	0	0	0
sim.703.014	none	0	0	0	2	2	2	1	0	0	0	0	0	0	0
sim.704.014	none	0	0	0	0	0	0	0	0	0	0	0	1	2	1
sim.705.014	none	0	0	0	0	0	0	0	0	0	7	8	3	11	6
sim.706.014	none	0	0	0	0	0	0	0	0	0	18	16	16	5	14
sim.707.014	none	0	0	0	0	0	0	0	0	0	4	4	0	0	0
sim.708.014	none	0	0	1	0	0	0	0	1	2	3	3	4	3	4
sim.709.014	none	0	0	0	0	0	0	0	0	0	3	5	8	3	6
sim.71.014	none	0	0	0	0	0	0	0	0	0	0	0	0	5	5
sim.710.014	none	0	0	0	0	0	0	0	0	0	9	13	8	15	8
sim.711.014	none	0	0	0	0	0	0	0	0	0	12	12	4	8	7
sim.712.014	none	2	1	3	0	1	1	1	0	1	0	0	2	2	3
sim.713.014	none	3	7	7	5	9	8	4	2	3	0	0	0	0	0
sim.714.014	none	3	2	0	0	3	4	1	0	0	2	7	1	1	2
sim.715.014	none	0	0	7	8	6	4	7	5	6	0	0	0	0	0
sim.716.014	none	0	0	0	0	0	0	0	0	0	2	0	0	1	2
sim.717.014	none	0	0	2	0	1	0	1	0	0	0	0	0	0	0
sim.718.014	none	0	0	0	0	0	0	0	0	0	17	15	0	5	1
sim.719.014	none	0	0	0	0	0	0	0	0	0	13	1	4	0	0
sim.72.014	none	4	4	0	0	0	0	0	0	0	0	0	0	0	0
sim.720.014	none	0	0	1	1	2	2	2	2	3	0	0	0	0	0
sim.721.014	none	3	4	1	6	7	4	2	1	2	15	15	5	8	9
sim.722.014	none	6	3	2	2	1	1	1	1	2	0	0	0	0	0
sim.723.014	none	0	0	0	0	0	0	0	0	0	2	8	5	1	2
sim.724.014	none	0	0	0	0	0	0	0	0	0	0	0	5	12	8
sim.725.014	none	0	1	2	1	3	5	2	0	0	0	0	0	0	0
sim.726.014	none	1	2	0	0	0	0	0	2	2	0	1	2	4	2
sim.727.014	none	0	0	0	0	0	0	0	0	0	0	0	4	4	1
sim.728.014	none	0	0	0	1	0	0	0	3	0	0	0	0	0	0
sim.729.014	none	3	2	2	3	5	6	1	0	1	0	0	0	0	0
sim.73.014	none	2	5	7	7	6	5	3	10	9	0	0	0	0	0
