OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.921.014	none	2	10	5	4	9	6	7	2	7	0	0	0	0	0
sim.922.014	none	0	0	0	0	0	0	0	0	0	3	9	10	27	22
sim.923.014	none	0	0	0	0	0	0	0	0	0	4	2	0	0	0
sim.924.014	none	0	0	0	0	0	0	0	0	0	9	7	8	8	10
sim.925.014	none	6	2	1	5	2	1	5	5	4	9	3	2	1	4
sim.926.014	none	2	2	4	2	3	4	4	5	7	0	0	0	0	0
sim.927.014	none	2	9	10	12	13	9	8	9	12	0	6	4	2	5
sim.928.014	none	6	9	8	4	6	7	9	11	7	0	0	0	0	0
sim.929.014	none	0	0	8	4	1	2	2	2	6	0	0	0	0	0
sim.93.014	none	0	0	0	0	0	0	0	0	0	1	4	5	5	5
sim.930.014	none	0	0	0	0	0	0	0	0	0	3	5	0	5	4
sim.931.014	none	4	2	0	0	0	0	0	0	0	8	7	8	11	5
sim.932.014	none	2	9	0	0	0	0	0	0	0	8	11	16	15	14
sim.933.014	none	0	0	0	0	0	0	0	0	0	7	7	11	16	11
sim.934.014	none	1	0	0	0	0	0	0	0	0	7	17	2	5	4
sim.935.014	none	3	1	2	1	3	2	1	5	3	5	2	9	10	7
sim.936.014	none	3	6	4	1	4	7	4	15	10	0	0	0	0	0
sim.937.014	none	3	0	4	6	3	2	1	3	3	0	0	0	0	0
sim.938.014	none	9	6	8	10	6	6	8	2	2	0	0	0	0	0
sim.939.014	none	5	4	2	9	6	6	12	6	9	3	0	2	5	5
sim.94.014	none	2	2	1	1	1	1	2	0	1	3	6	4	5	3
sim.940.014	none	0	0	0	0	0	0	0	0	0	9	14	21	6	6
sim.941.014	none	0	0	0	0	0	0	0	0	0	0	0	2	2	4
sim.942.014	none	7	5	8	3	3	8	8	7	4	0	0	0	0	0
sim.943.014	none	4	7	7	8	12	12	14	11	11	0	0	0	0	0
sim.944.014	none	0	0	0	0	0	0	0	0	0	4	3	16	9	10
sim.945.014	none	7	5	6	5	3	3	0	4	9	0	0	0	0	0
sim.946.014	none	0	0	0	0	0	0	0	0	0	1	3	3	0	0
sim.947.014	none	7	3	5	7	5	4	2	3	1	0	0	0	0	0
sim.948.014	none	0	0	0	0	0	0	0	0	0	2	2	1	1	0
sim.949.014	none	0	0	1	2	2	2	3	1	2	3	1	0	0	1
sim.95.014	none	7	3	0	0	0	0	0	3	1	0	0	0	0	0
sim.950.014	none	12	11	6	3	13	10	7	4	0	6	4	0	0	0
sim.951.014	none	0	0	0	0	0	0	0	0	0	1	4	4	5	1
sim.952.014	none	0	0	0	0	0	0	0	0	0	4	6	5	8	6
sim.953.014	none	3	1	0	0	0	0	0	1	0	0	5	0	0	0
sim.954.014	none	0	0	0	0	0	0	0	0	0	0	1	10	0	2
sim.955.014	none	0	0	0	0	0	0	0	0	0	1	5	1	1	1
sim.956.014	none	0	0	2	1	1	1	0	3	2	2	2	0	0	0
sim.957.014	none	0	0	0	0	0	0	0	0	0	3	2	0	0	0
sim.958.014	none	3	3	5	2	5	3	6	8	8	0	0	0	0	0
sim.959.014	none	0	0	0	0	0	0	0	0	0	0	0	12	12	19
sim.96.014	none	0	0	0	0	0	0	0	0	0	5	12	0	4	0
sim.960.014	none	4	3	20	13	16	12	12	13	12	0	0	0	0	0
sim.961.014	none	3	4	1	2	6	6	4	8	6	0	0	0	0	0
sim.962.014	none	0	0	0	0	0	0	0	0	0	1	3	9	13	13
sim.963.014	none	1	0	5	0	1	1	0	1	1	0	0	0	0	0
sim.964.014	none	0	0	0	0	0	0	0	0	0	3	3	0	3	1
sim.965.014	none	6	8	11	6	7	9	12	1	4	0	0	0	0	0
sim.966.014	none	4	6	0	0	0	0	0	0	0	3	1	3	4	4
sim.967.014	none	0	0	0	0	0	0	0	0	0	0	0	2	3	3
sim.968.014	none	0	0	0	0	1	1	1	1	1	0	0	0	0	0
sim.969.014	none	5	6	6	4	3	2	4	1	3	0	0	0	0	0
sim.97.014	none	4	2	1	1	3	2	1	0	1	0	0	0	0	0
sim.970.014	none	0	2	2	2	4	2	1	0	0	0	0	0	0	0
sim.971.014	none	8	8	14	9	12	14	7	10	12	0	0	0	0	0
sim.972.014	none	0	0	0	0	0	0	0	0	0	11	6	0	0	0
sim.973.014	none	0	0	0	0	0	0	0	0	0	2	4	0	1	1
sim.974.014	none	0	0	0	0	0	0	0	0	0	1	3	4	1	2
sim.975.014	none	1	1	0	0	0	0	0	1	0	0	0	1	7	7
sim.976.014	none	5	1	2	5	4	4	1	0	0	0	0	0	0	0
sim.977.014	none	0	0	0	0	0	0	0	0	0	0	0	0	2	3
sim.978.014	none	0	0	0	0	0	0	0	0	0	5	2	7	3	7
sim.979.014	none	10	8	1	0	1	2	4	0	0	4	1	2	0	0
sim.98.014	none	4	10	0	5	6	7	9	1	2	3	2	0	0	0
sim.980.014	none	0	0	0	0	0	0	0	0	0	3	12	0	9	6
sim.981.014	none	7	2	3	1	2	2	3	1	2	0	0	0	0	0
sim.982.014	none	3	1	2	3	4	5	3	1	0	0	0	0	0	0
sim.983.014	none	3	3	5	5	5	5	7	3	1	0	0	0	0	0
sim.984.014	none	2	1	1	0	0	0	0	0	0	0	0	0	0	0
sim.985.014	none	0	0	0	0	0	0	0	0	0	5	3	6	1	1
sim.986.014	none	0	0	0	0	0	0	0	0	0	0	3	4	1	3
sim.987.014	none	0	0	0	0	0	0	0	0	0	2	4	10	6	5
sim.988.014	none	6	5	5	2	0	0	0	2	3	0	0	0	0	0
sim.989.014	none	0	0	0	0	0	0	0	0	0	4	1	2	4	2
sim.99.014	none	10	4	5	8	2	5	4	4	4	0	0	0	0	0
sim.990.014	none	0	0	0	0	0	0	0	0	0	1	1	5	7	1
sim.991.014	none	5	2	2	4	1	1	5	7	8	0	0	0	0	0
sim.992.014	none	0	0	0	0	0	0	0	0	0	6	2	2	1	4
sim.993.014	none	4	3	9	5	7	7	4	7	10	0	0	0	0	0
sim.994.014	none	3	7	7	6	7	5	10	12	10	0	0	0	0	0
sim.995.014	none	0	0	0	0	0	0	0	0	0	10	13	9	15	11
sim.996.014	none	0	0	0	0	0	0	0	0	0	4	4	0	0	0
sim.997.014	none	3	2	6	8	12	10	13	11	11	0	0	0	0	0
sim.998.014	none	6	4	19	12	6	8	10	7	4	1	0	0	0	0
sim.999.014	none	1	3	3	4	1	1	0	0	0	0	0	0	0	0
